YEAR,MO,DY,T2MDEW,T2M,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,QV2M,RH2M,PRECTOTCORR
1982,2,9,21.43,26.13,23.78,26.55,-268.65,28.8,24.3,100.72,2.62,3.97,1.6,2.38,142.12,3.25,15.99,76.31,0.09
1982,2,10,19.64,26.44,23.04,26.88,-266.63,30.18,23.66,100.77,1.96,3.21,0.24,2.97,153.44,2.4,14.4,68.75,0.01
1982,2,11,19.71,26.59,23.15,27.01,-266.36,30.58,23.8,100.75,2.27,3.82,0.54,3.28,169.69,2.72,14.47,68.12,0
1982,2,12,21.64,26.12,23.87,26.78,-266.96,29.67,23.48,100.78,3.73,4.75,3.1,1.64,207.75,4.59,16.17,77.94,0.02
1982,2,13,22.42,26.44,24.44,27.22,-267.52,29.72,24.08,100.77,4.09,5.51,3.22,2.29,203.5,4.98,16.97,79.69,0.02
1982,2,14,22.61,27.13,24.87,28.02,-267.94,30.22,25.01,100.71,4.02,4.89,3.52,1.38,203.81,4.85,17.15,77.19,0.16
1982,2,15,23.29,26.9,25.09,27.62,-269.24,29.14,25.23,100.63,3.67,4.28,3.22,1.06,200.31,4.55,17.88,81.06,24.68
1982,2,16,23.1,27.09,25.1,27.68,-269.13,29.36,25.34,100.58,3.73,4.79,3.04,1.75,205.88,4.7,17.64,79.19,22.76
1982,2,17,23.44,27.04,25.24,27.69,-269.85,28.85,25.55,100.53,2.99,3.61,2.06,1.55,194.06,3.68,18.07,80.88,28.49
1982,2,18,23.29,27.77,25.53,28.5,-268.88,30.19,25.93,100.48,2.36,3.38,1.65,1.73,200.75,2.87,17.88,76.94,14
1982,2,19,24.18,27.9,26.05,28.48,-269.24,30.01,26.11,100.46,2.98,3.78,2.39,1.39,224,3.73,18.86,80.5,23
1982,2,20,23.67,26.9,25.28,27.67,-270.74,28.43,26.02,100.63,2.61,3.69,1.44,2.25,212.44,3.28,18.31,82.62,1.08
1982,2,21,23.26,27.37,25.32,27.82,-270.07,29.1,26.02,100.7,3.27,4.45,2.55,1.9,203.5,4.02,17.82,78.5,0.7
1982,2,22,23.35,26.98,25.16,27.89,-269.92,28.98,25.76,100.61,3.98,5.37,3.1,2.27,238.25,4.88,17.94,81.06,0.67
1982,2,23,22.7,25.54,24.12,26.82,-271.05,26.85,24.76,100.65,2.53,3.84,1.26,2.58,260.94,3.14,17.21,84.44,1.06
1982,2,24,22.65,25.94,24.3,26.83,-270.3,27.53,24.69,100.68,3.38,4.54,1.95,2.59,231.62,4.17,17.21,82.56,1.32
1982,2,25,21.93,26.51,24.22,27.12,-269.15,28.68,24.68,100.77,3.59,4.46,2.83,1.62,278.12,4.43,16.42,76.56,0.87
1982,2,26,22.87,26.62,24.74,27.55,-270.14,28.26,25.26,100.78,3.86,4.71,3.2,1.5,251.25,4.8,17.4,80.19,2.03
1982,2,27,23.27,27.19,25.23,28.29,-269.21,29.41,25.48,100.74,3.11,3.74,2.61,1.13,204.38,3.83,17.82,79.69,0.63
1982,2,28,23.76,27.5,25.62,28.51,-269.53,29.52,25.9,100.73,3.79,4.2,3.26,0.95,212,4.61,18.37,80.44,0.59
1982,3,1,23.89,27.23,25.56,28.23,-270.99,28.5,26.33,100.87,4.54,4.95,4.11,0.85,211.31,5.54,18.49,82.19,0.98
1982,3,2,22.94,27.52,25.23,28.49,-268.72,30.08,25.65,100.88,2.84,4.15,1.88,2.27,200.44,3.48,17.46,76.62,4.34
1982,3,3,23,27.9,25.45,28.6,-268.84,30.49,26.17,100.75,2.71,3.51,1.8,1.7,126.88,3.3,17.52,75.25,0.59
1982,3,4,21.57,27.55,24.56,27.87,-268.82,30.21,25.87,100.71,2.96,4.28,1.88,2.41,98.19,3.73,16.11,70.81,2.37
1982,3,5,19.01,27.24,23.12,26.94,-268.36,30.16,25.37,100.71,2.35,2.95,1.56,1.38,100.88,2.93,13.79,61.81,0.29
1982,3,6,21.26,27.01,24.14,27.14,-267.34,30.27,24.46,100.7,2.73,3.56,1.9,1.66,178.75,3.34,15.81,71.81,0.19
1982,3,7,22.93,27.35,25.14,27.83,-267.94,30.33,25.12,100.69,3.27,3.84,2.51,1.34,179.44,4.05,17.46,77.5,0.02
1982,3,8,23.05,27.46,25.26,28.03,-268.73,30.02,25.6,100.58,2.91,3.53,2.14,1.39,189.12,3.61,17.64,77.62,0.05
1982,3,9,23.73,27.66,25.69,28.44,-268.04,30.58,25.48,100.46,3.7,4.77,2.56,2.21,202.38,4.48,18.37,79.94,0.16
1982,3,10,23.77,27.62,25.7,28.18,-269.32,29.98,26.15,100.44,4.64,5.24,4.2,1.05,216.31,5.73,18.43,79.94,0.66
1982,3,11,23.8,27.19,25.5,27.42,-270.81,28.58,26.25,100.59,4.52,5.56,2.8,2.77,217.25,5.63,18.43,81.88,0.85
1982,3,12,23.09,27.27,25.19,27.7,-269.84,29.34,26.03,100.69,2.09,3.04,1.09,1.95,194.25,2.62,17.64,78.38,2.12
1982,3,13,22.63,27.07,24.85,27.42,-268.42,29.98,25.24,100.75,2.22,3.48,1.45,2.03,222.69,2.69,17.15,77.38,8.05
1982,3,14,23.73,26.93,25.33,27.18,-269.88,28.87,25.6,100.64,3.66,4.38,2.84,1.54,210.88,4.62,18.31,82.88,4.31
1982,3,15,23.45,27.11,25.28,27.44,-269.19,29.59,25.63,100.53,3.27,4.01,2.52,1.48,197.25,4.15,18.07,80.94,4.66
1982,3,16,23.74,26.65,25.2,26.72,-269.83,28.64,25.33,100.5,3.17,3.61,2.61,1,218.94,4.3,18.37,84.38,4.12
1982,3,17,23.7,26.18,24.94,26.23,-270.79,27.71,25.35,100.6,4.51,6.23,3.25,2.98,214,5.91,18.31,86.38,7.2
1982,3,18,22.2,26.66,24.43,27.45,-268.81,29.15,24.8,100.63,3.02,3.88,1.96,1.91,185.56,3.74,16.72,77.06,4.86
1982,3,19,23.49,27.55,25.51,28.23,-269.4,29.74,25.99,100.62,3.74,5.22,2.78,2.45,194.75,4.56,18.07,78.94,3.76
1982,3,20,23.77,26.73,25.25,27.52,-271.04,28.01,25.9,100.66,3.14,3.55,2.58,0.98,212.38,3.91,18.37,83.94,3.92
1982,3,21,23.58,27.4,25.49,28.24,-268.56,30.05,25.47,100.54,3.41,4.62,2.72,1.9,210.19,4.17,18.19,80.31,2.47
1982,3,22,24.16,27.47,25.81,28.04,-269.19,29.62,25.66,100.51,3.36,3.78,2.77,1,221.75,4.16,18.86,82.56,15.82
1982,3,23,24.08,27.06,25.58,27.94,-270.86,28.5,26.21,100.53,2.46,3.81,0.63,3.18,209.56,3.05,18.8,84,12.53
1982,3,24,23.42,26.98,25.2,28.01,-269.95,28.91,25.73,100.59,2.6,3,2.14,0.86,179,3.24,18.01,81.12,15.88
1982,3,25,23.26,27.48,25.37,28.32,-269.24,29.74,25.83,100.63,2.88,3.88,1.75,2.12,146.5,3.52,17.82,78.19,2.22
1982,3,26,23.95,27.62,25.78,28.08,-270.18,29.4,26.42,100.66,3.04,3.99,2.19,1.8,167.12,3.75,18.55,80.62,3.77
1982,3,27,24.22,27.75,25.98,28.2,-269.39,30,26.24,100.63,3.24,3.97,2.5,1.47,178.44,4.04,18.92,81.38,1.3
1982,3,28,24.67,27.48,26.07,27.81,-270.83,28.83,26.51,100.62,3.02,3.66,2.48,1.17,193.19,3.8,19.41,84.75,6.73
1982,3,29,24.41,26.83,25.62,27.52,-270.76,28.01,25.62,100.73,2.6,3.05,1.72,1.34,234.12,3.21,19.1,86.62,4.54
1982,3,30,23.13,25.87,24.51,26.68,-271.67,26.61,25.13,100.8,2.91,3.87,1.64,2.23,246.69,3.66,17.64,84.94,1.36
1982,3,31,23.9,26.69,25.3,27.01,-269.59,28.67,25.12,100.71,3.38,4,2.93,1.07,214.75,4.27,18.49,84.94,0.66
1982,4,1,24.26,26.98,25.62,27.33,-269.47,29.17,25.49,100.64,2.92,3.54,2.52,1.02,194.38,3.66,18.92,85.44,0.02
1982,4,2,24.48,27.25,25.87,27.67,-268.88,29.79,25.51,100.68,3.66,4.52,2.77,1.76,210.81,4.6,19.23,85.44,0.02
1982,4,3,24.24,27.63,25.94,28.25,-268.5,30.28,25.63,100.67,3.38,4.03,2.95,1.08,205.62,4.16,18.92,82.31,0.03
1982,4,4,24.17,27.93,26.05,28.67,-268.38,30.52,25.76,100.67,3.66,4.09,3.2,0.91,210.38,4.48,18.86,80.69,0.05
1982,4,5,24.8,28.12,26.46,28.94,-269.34,30.17,26.36,100.63,3.91,4.44,3.2,1.24,210.31,4.77,19.59,82.62,0.05
1982,4,6,24.65,27.73,26.19,28.45,-270.31,29.43,26.59,100.59,2.93,3.22,2.55,0.67,209.5,3.66,19.41,83.62,9.91
1982,4,7,24.65,27.9,26.27,28.63,-269.49,30.12,26.46,100.6,3.37,4,2.91,1.09,208.81,4.2,19.41,82.88,4.76
1982,4,8,24.65,27.7,26.18,28.19,-269.73,29.71,26.29,100.59,3.84,4.48,3.4,1.08,213.81,4.8,19.41,83.69,6.75
1982,4,9,24.45,27.37,25.9,27.62,-270.48,28.93,26.26,100.63,3.62,4.02,2.88,1.13,204.5,4.55,19.17,84.31,10.46
1982,4,10,23.94,26.58,25.26,27.23,-271.27,27.69,25.81,100.71,3.45,4.29,2.88,1.41,201.94,4.3,18.55,85.38,13.13
1982,4,11,23.72,27.06,25.39,27.8,-269.35,29.23,25.43,100.68,3.22,4.01,2.58,1.43,223.94,3.96,18.31,82.25,1.2
1982,4,12,23.52,26.62,25.08,27.4,-271.45,27.72,26.01,100.62,2.89,3.64,1.79,1.85,207.44,3.58,18.13,83.12,3.39
1982,4,13,24.17,27.4,25.78,28.19,-269.57,29.29,25.71,100.49,4.2,4.88,3.53,1.36,230.94,5.23,18.86,82.75,2.88
1982,4,14,24.08,27.01,25.55,27.94,-270.67,28.37,25.88,100.52,4.61,5.48,3.68,1.81,243.12,5.71,18.74,84.12,2.78
1982,4,15,23.73,26.98,25.35,27.65,-270.17,28.65,25.67,100.65,3.33,3.61,2.88,0.73,220.44,4.13,18.31,82.56,1.64
1982,4,16,24.24,26.86,25.55,27.48,-270.04,28.61,25.49,100.71,3.84,4.46,3.34,1.12,231.44,4.77,18.92,85.75,9.14
1982,4,17,23.88,26.96,25.42,27.63,-270.45,28.61,25.91,100.69,4.21,5.51,3.08,2.43,212.38,5.25,18.49,83.44,13.88
1982,4,18,23.62,26.81,25.22,27.5,-270.5,28.33,25.69,100.59,2.55,3.2,1.95,1.24,196.25,3.18,18.25,82.81,4.54
1982,4,19,23.87,26.84,25.36,27.37,-269.91,28.79,25.55,100.53,3.63,4.82,2.41,2.41,201,4.48,18.49,83.88,14.89
1982,4,20,24.17,27.01,25.58,27.44,-269.92,28.87,25.64,100.61,3.4,4.73,2.66,2.07,208.62,4.23,18.86,84.62,19.59
1982,4,21,23.58,26.24,24.91,26.86,-271.55,27.1,25.5,100.79,2.23,3.85,1.07,2.78,230.19,2.74,18.19,85.38,3.62
1982,4,22,22.41,25.75,24.08,26.67,-270.9,27.06,24.82,100.85,3.75,4.78,2.44,2.34,225.62,4.56,16.91,82.06,1.62
1982,4,23,22.62,26.22,24.42,26.98,-268.71,28.77,24.33,100.88,3.09,4.34,1.75,2.59,230.88,3.81,17.09,81,0.69
1982,4,24,23.29,26.67,24.98,27.36,-269.32,28.83,25.01,100.88,3.23,4.04,2.67,1.37,198.06,3.97,17.82,82.06,1.75
1982,4,25,24.04,26.84,25.44,27.56,-269.89,28.76,25.51,100.89,3.69,4.58,2.87,1.71,203.19,4.52,18.62,84.81,4.33
1982,4,26,23.86,26.42,25.14,27.22,-271.08,27.71,25.64,100.88,3.73,4.41,3.08,1.34,214.75,4.63,18.43,85.88,3.5
1982,4,27,23.58,26.47,25.02,27.4,-270.28,28.11,25.24,100.85,2.91,3.16,2.51,0.66,229.44,3.59,18.13,84.31,2.92
1982,4,28,23.77,26.8,25.29,27.52,-270.08,28.48,25.4,100.71,2.59,3.77,0.73,3.04,208.19,3.16,18.37,83.62,1.03
1982,4,29,24.07,26.94,25.51,27.56,-269.97,28.8,25.62,100.63,3.66,4.55,2.96,1.59,201.56,4.5,18.74,84.44,2.16
1982,4,30,24.15,26.76,25.45,27.26,-270.07,28.63,25.55,100.69,3.55,4.31,2.84,1.47,212.62,4.4,18.8,85.75,5.64
1982,5,1,23.89,26.59,25.24,27.19,-270.35,28.26,25.45,100.8,2.76,3.7,1.6,2.09,190.94,3.4,18.49,85.31,7.39
1982,5,2,23.9,26.4,25.15,27.08,-270.42,27.99,25.26,100.86,2.31,2.88,1.41,1.45,220.94,2.91,18.49,86.25,25.94
1982,5,3,24.32,26.38,25.35,26.89,-270.88,27.72,25.45,100.91,2.87,3.3,2.51,0.79,234.62,3.58,18.98,88.5,18.08
1982,5,4,23.86,25.62,24.74,25.74,-271.12,26.8,24.77,100.92,2.91,3.93,2.44,1.49,219.62,3.73,18.43,90,2.75
1982,5,5,23.78,25.89,24.83,26.05,-269.68,27.88,24.41,100.85,3.2,3.89,2.2,1.7,224.5,4.1,18.37,88.25,3.87
1982,5,6,24.12,26.01,25.06,26.19,-269.99,27.86,24.69,100.79,3.98,4.66,3.34,1.33,220.69,5.09,18.74,89.44,6.3
1982,5,7,24.1,25.5,24.8,25.74,-271.35,26.65,24.85,100.83,4.29,5.26,3.58,1.69,223.44,5.45,18.74,91.88,8.64
1982,5,8,23.81,25.15,24.48,25.63,-271.55,26.19,24.58,100.92,3.99,4.79,3.17,1.62,234.19,5,18.37,92.25,15.85
1982,5,9,23.12,25.45,24.29,26.15,-270.41,27.05,24.3,100.9,2.69,3.98,1.08,2.9,217.19,3.33,17.64,87.06,3.76
1982,5,10,23.01,25.75,24.37,26.48,-269.66,27.75,24.26,100.83,2.09,2.97,0.78,2.19,197.25,2.55,17.52,85,2
1982,5,11,22.8,25.99,24.4,26.51,-268.92,28.37,24.15,100.71,2.13,3.04,1.14,1.91,187.75,2.63,17.33,82.81,0.92
1982,5,12,23.56,26.26,24.9,26.58,-269.45,28.26,24.56,100.67,3.07,3.96,2.34,1.62,207.06,3.87,18.13,85.25,1.83
1982,5,13,23.72,26.26,24.99,26.39,-270.63,27.72,25.19,100.7,3.41,3.91,2.73,1.19,194.88,4.41,18.31,85.94,1.99
1982,5,14,23.3,26.12,24.72,26.38,-270.55,27.53,24.93,100.74,2.89,3.92,2.11,1.81,220.81,3.65,17.82,84.5,1.25
1982,5,15,23.53,26.55,25.05,27.18,-269.29,28.64,24.79,100.74,3.49,4.28,2.31,1.97,217.94,4.26,18.07,83.69,2.81
1982,5,16,23.1,26.76,24.94,27.06,-270.13,28.58,25.55,100.76,2.62,3.86,1.63,2.22,163.75,3.13,17.64,80.44,1.41
1982,5,17,22.9,26.73,24.81,27.13,-270.15,28.55,25.55,100.68,2.33,3.05,1.42,1.62,145.62,2.8,17.46,79.62,0.7
1982,5,18,23.59,26.8,25.19,27.41,-269.51,28.83,25.19,100.63,2.94,3.3,2.63,0.66,194.5,3.62,18.19,82.81,3.5
1982,5,19,24.15,26.62,25.38,27.11,-270.63,28.07,25.55,100.69,2.92,3.48,2.2,1.3,198.56,3.63,18.8,86.38,8.28
1982,5,20,23.55,26.31,24.93,26.85,-270.7,27.8,25.35,100.81,2.17,2.61,1.09,1.52,159.88,2.66,18.13,84.88,2.4
1982,5,21,23.47,25.44,24.45,25.39,-270.66,26.76,24.26,100.84,1.53,2.41,0.6,1.81,183.19,2.17,18.01,88.81,3.86
1982,5,22,23.49,25.25,24.37,25.3,-269.83,27.15,23.83,100.8,2.38,3.21,1.75,1.46,192.25,3.41,18.07,90.06,7.9
1982,5,23,23.92,25.31,24.62,25.34,-270.76,26.6,24.21,100.72,2.64,3.41,2.15,1.26,211,3.74,18.55,92,10.29
1982,5,24,23.7,26.02,24.86,26.68,-270.12,27.77,24.74,100.65,2.35,2.8,1.86,0.94,201.81,2.93,18.31,87.19,12.72
1982,5,25,24.24,26.51,25.37,27.03,-270.26,28.2,25.32,100.69,2.83,3.53,2.24,1.28,203.06,3.5,18.92,87.44,18.71
1982,5,26,24.61,26.23,25.41,26.85,-272.02,26.83,25.7,100.83,3.59,4.07,3.28,0.8,207.06,4.51,19.29,90.69,24.24
1982,5,27,24.26,26.3,25.28,26.75,-270.86,27.77,25.48,100.82,2.84,3.75,1.31,2.44,218.75,3.53,18.92,88.5,8.11
1982,5,28,23.62,26.05,24.84,26.75,-270.85,27.32,25.02,100.78,2.71,3.62,1.07,2.55,170.88,3.23,18.19,86.5,2.09
1982,5,29,23.69,26.26,24.98,26.77,-270.57,27.8,25.22,100.84,3.93,4.89,3.17,1.71,200.81,4.86,18.25,85.75,9.17
1982,5,30,23.58,26.01,24.8,26.69,-271.1,27.23,25.19,100.98,3.44,4.45,2.48,1.96,218.81,4.27,18.13,86.44,7.19
1982,5,31,23.83,25.6,24.72,26.35,-271.88,26.23,24.97,101.11,3.17,3.85,2.21,1.64,215.56,3.98,18.37,89.88,53.15
1982,6,1,23.84,25.64,24.74,26.15,-271.6,26.46,24.9,101.12,3.95,4.57,3.45,1.12,226.62,5.02,18.37,89.75,15.53
1982,6,2,22.9,25.43,24.16,25.97,-270.64,26.93,24.42,101.07,3.25,3.96,2.38,1.59,207.56,4.03,17.33,85.94,13.51
1982,6,3,22.66,24.84,23.76,25.48,-271.24,25.95,24.05,101.06,2.62,3.55,2.05,1.51,232.12,3.28,17.09,87.69,5.46
1982,6,4,22.98,24.85,23.91,25.64,-270.93,26.14,23.92,101.07,1.95,2.45,1.2,1.24,196.31,2.48,17.46,89.31,1.29
1982,6,5,22.09,25.49,23.79,26.16,-270.29,27.15,24.3,101.12,1.9,2.79,0.85,1.94,146.38,2.28,16.48,81.56,2.65
1982,6,6,23.08,25.69,24.39,26.62,-269.6,27.62,24.07,100.99,2.84,3.76,1.78,1.98,210.75,3.5,17.58,85.62,1.29
1982,6,7,23.6,25.69,24.65,26.37,-270.71,27.08,24.64,100.9,3.24,3.65,2.87,0.78,191.12,3.98,18.13,88.19,5.2
1982,6,8,23.37,25.94,24.65,26.49,-270.49,27.55,24.9,100.86,3.96,5.07,3.3,1.77,196.38,4.88,17.88,85.75,4.68
1982,6,9,23.53,26.09,24.81,26.57,-270.05,27.92,24.82,100.9,3.69,4.57,2.93,1.64,217.25,4.56,18.07,85.88,7.32
1982,6,10,23.58,25.43,24.51,26.04,-271.41,26.42,24.67,100.97,3.73,4.15,3.02,1.13,218.88,4.65,18.13,89.5,15.38
1982,6,11,23.45,25.08,24.26,25.64,-271.16,26.3,24.3,100.98,3.58,4.1,3.17,0.93,208.81,4.45,17.94,90.69,15.3
1982,6,12,23.19,25.54,24.37,25.89,-270.24,27.16,24.25,101.09,3.47,4.22,2.83,1.39,190.31,4.3,17.64,86.94,3.81
1982,6,13,22.94,25.34,24.14,25.73,-270.79,26.71,24.35,101.09,3.55,4.68,2.85,1.82,195.69,4.38,17.4,86.5,7.76
1982,6,14,22.68,25.06,23.87,25.72,-270.49,26.55,23.9,101.07,3.48,4.08,2.98,1.09,208.69,4.27,17.09,86.62,1.56
1982,6,15,22.76,25.1,23.93,25.99,-270.09,26.89,23.82,100.97,4.2,5.27,3.26,2.02,204.81,5.12,17.21,86.94,6.02
1982,6,16,22.83,25.33,24.08,26.28,-270.26,27.08,24.18,101.05,4.31,5.35,3.69,1.66,199.25,5.3,17.27,86.06,6.27
1982,6,17,22.8,25.27,24.03,26.23,-270.73,26.74,24.32,101.13,4.57,6.08,3.8,2.28,202.19,5.63,17.21,86.19,5.14
1982,6,18,22.81,25.27,24.04,26.17,-270.83,26.62,24.31,101.06,4.52,5.34,3.91,1.44,205.38,5.59,17.27,86.25,21.83
1982,6,19,22.9,25.65,24.28,26.42,-270.4,27.19,24.44,100.96,4.38,5.34,3.52,1.82,203.38,5.43,17.4,84.88,5.23
1982,6,20,23.05,25.23,24.14,26.12,-271.87,25.97,24.69,101.01,4.34,5.41,3.25,2.16,214.75,5.38,17.52,87.62,3.95
1982,6,21,23.05,25.55,24.3,26.33,-270.92,26.81,24.58,101.12,4.19,5.27,3.31,1.95,199,5.16,17.52,86,1.65
1982,6,22,22.97,25.42,24.19,25.98,-271.05,26.65,24.55,101.13,3.73,4.42,2.99,1.43,216.38,4.65,17.4,86.25,5.91
1982,6,23,22.83,25.42,24.13,25.72,-270.46,27.03,24.34,101,4.23,4.61,3.74,0.87,216.81,5.33,17.27,85.62,7.7
1982,6,24,22.58,25.2,23.9,25.45,-270.76,26.58,24.19,101.01,4.09,4.74,3.11,1.63,210,5.12,17.03,85.44,4.99
1982,6,25,22.65,25.18,23.92,25.55,-270.52,26.76,24.13,101.04,3.75,4.86,2.96,1.9,190.94,4.61,17.09,85.94,12.67
1982,6,26,22.58,25.05,23.82,25.46,-270.82,26.44,24.12,101.13,4.51,5.59,3.77,1.81,207.31,5.62,17.03,86.19,10.88
1982,6,27,22.49,25.15,23.82,25.57,-270.73,26.67,24.25,101.01,4.35,5.26,3.59,1.67,212.88,5.38,16.91,85.19,8.14
1982,6,28,22.52,24.28,23.4,25.14,-271.62,25.17,23.64,100.92,4.07,4.56,3.68,0.88,215.31,5.05,16.97,89.88,9.6
1982,6,29,22.49,24.65,23.57,25.33,-271.02,25.98,23.84,101,3.95,4.63,3.34,1.29,201.38,4.86,16.91,87.81,8.57
1982,6,30,22.34,24.87,23.61,25.23,-271.06,25.91,23.83,101.22,3.46,3.87,2.88,0.98,227.25,4.3,16.72,85.81,8
1982,7,1,22.53,25.01,23.77,25.36,-270.3,26.74,23.89,101.28,3.94,4.51,3.39,1.12,232.12,4.93,16.91,86.12,11.14
