YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M
2023,2,8,27.42,24.07,25.75,27.94,4.1,29.8,25.71,18.68,82.19,1.51,100.67,3.22,3.8,2.68,1.12,222.19,4.02
2023,2,9,27.48,24.34,25.91,27.87,3.77,29.68,25.91,18.98,83.25,1.1,100.66,3.02,3.47,2.32,1.16,208.25,3.81
2023,2,10,27.92,24.63,26.27,28.49,4.92,30.72,25.8,19.35,82.69,1.11,100.67,3.11,3.87,2.13,1.74,205.56,3.87
2023,2,11,28.13,24.99,26.56,28.66,4.76,30.98,26.22,19.78,83.5,1.02,100.59,3.43,4.23,2.77,1.46,211.88,4.25
2023,2,12,27.97,25.23,26.6,28.44,3.62,30.08,26.47,20.08,85.38,2.38,100.59,3.16,3.52,2.3,1.22,205,3.98
2023,2,13,28.1,25.11,26.61,28.51,3.87,30.37,26.5,19.9,84.06,1.51,100.62,3.31,4.4,2.15,2.25,205.12,4.12
2023,2,14,27.93,25.08,26.51,28.35,3.59,30.14,26.55,19.9,84.75,2.74,100.58,3.23,4.13,1.76,2.38,216.25,4.05
2023,2,15,28.04,24.9,26.47,28.47,4.12,30.47,26.34,19.71,83.38,2.28,100.48,3.05,4.05,1.38,2.67,207.69,3.84
2023,2,16,28.36,24.19,26.27,28.81,4.62,31.11,26.49,18.86,78.81,2.11,100.46,2.29,3.5,0.27,3.23,182.12,2.9
2023,2,17,28.16,23.44,25.8,28.37,4.77,31.18,26.4,18.01,76.12,0.58,100.48,2.77,3.7,1.16,2.55,128.81,3.47
2023,2,18,28.09,21.53,24.81,28.08,5.8,31.83,26.03,16.05,68.75,0.01,100.52,2.09,3.18,0.19,2.99,133.81,2.66
2023,2,19,27.84,22.87,25.36,28.08,5.91,31.08,25.17,17.4,75.31,0.03,100.53,2.45,3.81,0.46,3.35,202.88,3.09
2023,2,20,28.23,24.29,26.26,28.62,5.64,31.68,26.03,18.98,80.12,0.42,100.52,2.91,3.62,1.09,2.52,212.38,3.67
2023,2,21,28.33,25.25,26.79,28.71,4.24,30.97,26.72,20.08,83.81,1.68,100.55,3.96,5.38,2.52,2.86,212.31,4.92
2023,2,22,28.12,25.29,26.71,28.26,3.5,30.29,26.79,20.14,84.88,2.64,100.63,3.91,4.77,2.99,1.77,217,5.12
2023,2,23,27.76,24.95,26.35,27.84,3.34,29.77,26.44,19.71,84.94,3.56,100.65,4.62,5.23,3.88,1.35,229,5.95
2023,2,24,27.44,25.1,26.27,27.6,2.7,28.88,26.18,19.96,87.25,3.53,100.62,4.01,4.66,3.25,1.41,231.25,5.06
2023,2,25,27.71,24.99,26.35,27.89,3.04,29.55,26.51,19.78,85.31,2.74,100.64,3.98,4.43,3.28,1.15,238.44,5.1
2023,2,26,27.55,24.97,26.26,27.84,3.45,29.48,26.03,19.71,86.06,1.99,100.73,3.73,4.21,3.16,1.05,226.38,4.76
2023,2,27,27.97,24.94,26.45,28.23,4.15,30.36,26.22,19.65,84.06,1.46,100.8,4.41,4.95,3.73,1.23,229.75,5.63
2023,2,28,27.8,24.99,26.4,28.11,3.73,30.02,26.29,19.71,84.88,3.63,100.9,3.63,4.81,2.47,2.34,229.06,4.58
2023,3,1,27.89,25.12,26.51,28.08,3.13,29.69,26.56,19.9,85.19,3.72,100.81,3.44,4.14,2.62,1.52,217.12,4.37
2023,3,2,27.88,25.55,26.72,28.08,2.98,29.55,26.58,20.45,87.31,7.49,100.68,3.65,3.97,3.3,0.67,220.69,4.66
2023,3,3,28.12,25.54,26.83,28.36,3.2,30.06,26.86,20.45,86,5.9,100.64,3.84,4.55,3.18,1.38,217.19,4.91
2023,3,4,27.86,25.15,26.51,28.13,2.95,29.51,26.56,19.96,85.44,4.26,100.72,2.97,3.43,2.26,1.18,209.25,3.8
2023,3,5,28.29,24.48,26.39,28.55,4.49,30.86,26.37,19.17,80.25,1.62,100.63,3.41,4.02,2.34,1.67,226.25,4.38
2023,3,6,27.98,24.81,26.4,28.38,3.52,30.05,26.53,19.59,83.06,5.7,100.59,4.36,5.45,3.57,1.88,224.62,5.41
2023,3,7,27.49,24.56,26.03,28.1,2.49,28.96,26.47,19.29,84.12,8.07,100.58,4.13,5.48,3.2,2.27,218.62,5.08
2023,3,8,28.09,24.91,26.51,28.41,4.01,30.33,26.33,19.65,83,1.41,100.57,4.12,5.11,3.04,2.07,204.12,5.2
2023,3,9,28.3,25.15,26.73,28.67,3.74,30.43,26.69,19.96,83.25,3.55,100.65,3.95,4.7,3.18,1.52,204.5,4.96
2023,3,10,28.57,24.87,26.72,29.02,4.62,31.11,26.49,19.59,80.75,1.55,100.6,3.56,4.91,2.95,1.96,217.25,4.48
2023,3,11,28.33,25.7,27.01,28.51,2.73,29.94,27.23,20.63,85.75,7.43,100.6,3.88,4.73,3.52,1.22,207.44,4.94
2023,3,12,28.15,24.33,26.24,28.26,3.16,30.13,26.97,18.98,79.88,2.57,100.65,3.48,4.8,2.26,2.55,202.06,4.43
2023,3,13,28.43,24.25,26.34,28.78,4.29,30.94,26.65,18.86,78.19,1.39,100.62,3.09,4.72,1.51,3.21,183.12,3.73
2023,3,14,28.51,25.06,26.79,28.99,3.93,30.69,26.76,19.84,81.88,2.96,100.53,4.12,4.48,3.77,0.71,220.38,5.12
2023,3,15,28.3,25.08,26.69,28.73,3.12,30.1,26.98,19.9,82.75,4.24,100.48,3.72,4.18,3.35,0.83,225.94,4.66
2023,3,16,27.96,25.19,26.58,28.29,2.54,29.37,26.83,20.02,85,6.56,100.46,3.61,4.19,2.58,1.61,222.25,4.55
2023,3,17,27.84,25.12,26.48,28.28,2.14,29.1,26.96,19.96,85.25,5.78,100.52,3.53,4.12,2.88,1.23,227.12,4.41
2023,3,18,27.59,24.05,25.82,27.9,2.69,29.07,26.38,18.74,81.38,8.51,100.7,4.24,5.3,3.38,1.91,224.19,5.37
2023,3,19,27.85,23.1,25.48,28.62,5.37,30.57,25.2,17.58,75.81,0.84,100.72,3.34,4.58,2.23,2.34,247.5,4.16
2023,3,20,28.03,24.41,26.22,28.67,3.74,30.13,26.39,19.04,80.94,3.48,100.69,4.07,5.01,3.38,1.64,226.62,5.05
2023,3,21,28.15,24.65,26.4,28.8,3.54,30.19,26.65,19.35,81.5,4.03,100.65,4.14,4.66,3.52,1.15,229.94,5.16
2023,3,22,27.08,23.83,25.46,28.08,2.69,28.61,25.92,18.43,82.25,8.07,100.77,3.33,4.93,2.24,2.7,187.69,4.12
2023,3,23,27.98,22.71,25.34,28.86,4.6,30.49,25.89,17.15,73.12,1.35,100.71,2.73,3.95,1.55,2.4,217.94,3.31
2023,3,24,26.44,24.49,25.46,27.62,1.23,27.19,25.95,19.23,89.06,42.34,100.74,2.88,3.56,2.26,1.3,251.06,3.64
2023,3,25,27.6,23.47,25.54,28.3,4.19,30.09,25.9,18.01,78.31,0.79,100.73,2.26,2.97,1.22,1.75,189.88,2.73
2023,3,26,27.53,24.09,25.81,28.22,3.29,29.37,26.08,18.68,81.56,2.87,100.78,3.08,3.84,2.3,1.53,177.88,3.75
2023,3,27,27.55,23.79,25.67,28.23,2.92,29.3,26.38,18.37,80.06,3.69,100.75,2.6,3.46,1.69,1.77,176,3.17
2023,3,28,27.68,24.2,25.94,28.51,4.04,29.94,25.89,18.8,81.62,1.45,100.68,3.09,3.31,2.84,0.47,215.31,3.87
2023,3,29,27.76,24.9,26.33,28.34,3.39,29.56,26.17,19.65,84.56,3.65,100.77,3.66,4.45,2.95,1.49,215.44,4.55
2023,3,30,28.3,25.07,26.68,28.58,3.31,30.3,26.98,19.84,82.75,4.17,100.78,3.38,3.87,2.94,0.92,208.06,4.34
2023,3,31,27.44,22.48,24.96,27.97,3.32,29.52,26.21,16.91,74.56,5.56,100.78,2.84,4.6,1.27,3.33,116.5,3.72
2023,4,1,27.75,22.67,25.21,28.17,4.75,30.35,25.59,17.15,73.88,0.59,100.77,4.03,5.03,3.09,1.95,140.12,5.03
2023,4,2,27.81,24.73,26.27,28.24,3.41,29.6,26.19,19.47,83.44,2.56,100.65,3.09,3.44,2.55,0.9,207.06,3.85
2023,4,3,28.09,24.78,26.44,28.5,3.79,30.1,26.31,19.53,82.44,3.54,100.53,3.18,3.45,2.65,0.8,208.5,3.99
2023,4,4,28.33,24.19,26.26,28.37,2.99,30.15,27.15,18.8,78.25,1.26,100.5,2.96,3.89,2.02,1.87,183,3.72
2023,4,5,28.35,25.07,26.71,28.53,3.1,30.21,27.11,19.9,82.44,1.29,100.49,3.52,4.14,3.04,1.1,201.5,4.43
2023,4,6,28.53,25.01,26.77,28.92,4.33,30.87,26.54,19.78,81.5,2.22,100.52,3.82,4.55,3.11,1.44,229,4.76
2023,4,7,28.07,24.97,26.51,28.44,2.22,29.31,27.09,19.78,83.31,4.78,100.54,3.2,4.68,0.65,4.03,221.44,4.07
2023,4,8,27.77,24.55,26.16,27.99,2.27,29.2,26.93,19.29,82.62,8.13,100.6,3.48,4.83,2.12,2.7,236.44,4.24
2023,4,9,27.3,24.08,25.69,27.89,1.94,28.34,26.4,18.68,82.56,5,100.72,3.14,3.95,2.05,1.9,210.44,3.87
2023,4,10,27.8,24.58,26.19,28.3,3.29,29.73,26.44,19.29,82.69,1,100.64,3.3,4.63,2.54,2.1,213.44,4.12
2023,4,11,28.38,24.61,26.49,28.83,3.87,30.51,26.64,19.29,80.19,1.4,100.58,3.62,4.23,3.09,1.13,205.06,4.47
2023,4,12,28.32,24.99,26.65,28.73,2.61,29.91,27.31,19.78,82.19,3.16,100.6,3.94,4.84,3.14,1.7,203.06,4.89
2023,4,13,28.03,25.25,26.64,28.42,2.63,29.46,26.82,20.08,84.88,3.2,100.56,3.51,4.02,3.02,1,222.25,4.36
2023,4,14,28.15,25.42,26.79,28.54,3.38,30.05,26.67,20.32,85.25,4.38,100.56,3.73,4.8,2.89,1.91,221.56,4.63
2023,4,15,28.14,25.58,26.86,28.37,2.2,29.4,27.2,20.51,86.06,5.55,100.66,4.02,5.2,2.88,2.31,215.44,5.09
2023,4,16,27.94,24.98,26.46,28.43,3.06,29.61,26.55,19.78,84,2.31,100.49,2.74,3.69,1.38,2.3,193.5,3.4
2023,4,17,27.92,25.05,26.48,28.31,2.67,29.44,26.78,19.9,84.44,2.52,100.43,2.63,3.45,1.69,1.77,191.69,3.27
2023,4,18,28.19,25.13,26.66,28.59,3.68,30.31,26.63,19.96,83.5,2.3,100.47,2.84,3.8,2.19,1.61,175.56,3.48
2023,4,19,27.78,23.7,25.74,28.5,2.55,29.4,26.84,18.31,78.69,6.13,100.65,2.41,3.48,1.12,2.36,201.19,3.06
2023,4,20,27.63,24.26,25.94,28.43,1.98,28.73,26.75,18.92,81.75,1.59,100.57,3.8,4.62,3.05,1.57,215.19,4.72
2023,4,21,28.27,24.68,26.48,28.74,3.71,30.29,26.58,19.41,81,1.35,100.41,4.05,4.6,3.09,1.51,223.38,5.08
2023,4,22,28.57,25.28,26.93,28.95,3.09,30.38,27.3,20.14,82.44,3.03,100.36,5.01,5.89,4.46,1.43,226.94,6.28
2023,4,23,28.4,25.68,27.05,28.91,2.35,29.72,27.37,20.63,85.12,5.95,100.48,4.38,5.53,2.92,2.62,221.88,5.45
2023,4,24,28.22,25.52,26.87,28.7,1.81,29.23,27.42,20.45,85.25,8.18,100.63,2.1,2.83,1.06,1.77,197.75,2.61
2023,4,25,27.82,25.41,26.62,28.32,2.09,29,26.9,20.26,86.75,5.08,100.69,2.75,3.92,1.94,1.98,226.12,3.38
2023,4,26,28.02,24.56,26.29,28.26,2.79,29.65,26.86,19.29,81.62,1.75,100.65,3.8,4.7,2.7,2,244.69,4.8
2023,4,27,27.5,24.15,25.83,28.15,2.85,29.42,26.57,18.74,81.94,4.74,100.79,3.62,4.22,2.99,1.23,214.31,4.52
2023,4,28,27.95,22.86,25.4,28.41,4.04,30.19,26.15,17.33,74.19,0.26,100.78,3.05,3.64,2,1.64,208.25,3.81
2023,4,29,27.29,24.08,25.69,28.13,3.43,29.01,25.58,18.68,82.56,26.34,100.96,3.36,4.35,2.09,2.26,195.69,4.2
2023,4,30,26.48,22.85,24.66,27.66,3.03,28.02,24.99,17.33,80.38,8.56,100.87,2.86,4.09,1.02,3.07,163.88,3.59
2023,5,1,27.58,24.35,25.97,28.48,3.84,29.56,25.73,18.98,82.56,2.4,100.74,3.55,4.72,2.34,2.38,217.88,4.38
2023,5,2,28.1,24.5,26.3,28.8,4.11,30.3,26.19,19.17,80.88,1.06,100.75,3.21,3.89,2.49,1.4,215.44,3.95
2023,5,3,27.87,25.06,26.46,28.7,2.56,29.36,26.8,19.84,84.69,3.24,100.85,2.92,3.48,2.35,1.12,174.69,3.59
2023,5,4,27.74,24.73,26.23,28.55,2.38,29.08,26.69,19.41,83.62,2.38,100.9,2.56,3.15,1.91,1.23,200.31,3.21
2023,5,5,28.08,24.61,26.34,28.75,3.11,29.84,26.73,19.29,81.44,1.45,100.83,2.86,3.42,2.46,0.97,220.75,3.57
2023,5,6,28.11,24.68,26.4,28.86,2.88,29.69,26.81,19.35,81.56,3.3,100.78,2.59,3.12,1.99,1.12,205.56,3.18
2023,5,7,27.84,24.45,26.15,28.61,2.16,29.12,26.96,19.1,81.69,1.4,100.73,2.61,3.37,1.85,1.52,203.81,3.19
2023,5,8,28.1,24.69,26.4,28.8,3.08,29.93,26.85,19.35,81.75,1.59,100.77,2.52,4.41,1.05,3.36,167.62,3.11
2023,5,9,28.61,24.91,26.76,29.06,2.93,30.23,27.3,19.65,80.31,2.47,100.68,2.98,3.67,1.95,1.73,208.5,3.69
2023,5,10,28.8,25.65,27.22,29.29,2.93,30.51,27.58,20.57,83.12,4.2,100.62,4.25,4.91,3.73,1.19,223.44,5.3
2023,5,11,28.47,25.73,27.1,29.18,2.14,29.65,27.51,20.69,85.19,3.93,100.63,3.82,4.24,3.31,0.93,221.19,4.77
2023,5,12,28.08,25.79,26.94,28.97,1.66,28.98,27.32,20.75,87.31,7.87,100.73,2.32,3.2,1.9,1.3,193.44,2.91
2023,5,13,28.69,25.55,27.12,29.03,2.52,30.17,27.64,20.39,83.19,2.85,100.83,2.54,3.15,1.6,1.55,198.19,3.12
2023,5,14,28.51,26.15,27.33,28.9,2.75,30.16,27.41,21.18,87.12,5.95,100.92,3.58,4.12,2.94,1.17,227.44,4.47
2023,5,15,28.22,25.8,27.01,28.7,2.15,29.44,27.3,20.69,86.75,6.61,100.87,3.59,4.08,2.8,1.27,246.06,4.4
2023,5,16,28,25.52,26.76,28.65,2.52,29.37,26.85,20.39,86.5,4.39,100.82,3.77,4.04,3.27,0.77,236.06,4.67
2023,5,17,28.18,25.51,26.84,28.76,2.7,29.72,27.02,20.39,85.44,2.3,100.76,3.24,3.82,2.72,1.1,212.5,4.03
2023,5,18,28.26,25.78,27.01,28.89,1.99,29.34,27.35,20.69,86.44,5.02,100.81,2.85,3.27,2.3,0.98,221.25,3.57
2023,5,19,28.12,25.05,26.59,28.75,2.58,29.58,27,19.84,83.5,1.94,100.77,3.12,3.61,2.78,0.82,246.75,3.89
2023,5,20,27.9,24.82,26.37,28.8,2.98,29.59,26.61,19.53,83.38,1.6,100.77,2.95,3.45,1.85,1.59,215.69,3.61
2023,5,21,27.33,24.8,26.07,28.26,2.1,28.45,26.36,19.53,86.06,3.9,100.83,3.03,3.82,2.46,1.36,213.38,3.74
2023,5,22,27.54,25.07,26.3,28.44,2.25,28.66,26.41,19.84,86.38,6.2,100.79,2.5,3.06,2.11,0.95,209.81,3.05
2023,5,23,27.96,25.38,26.67,28.59,1.95,29.09,27.14,20.26,85.88,5.14,100.71,2.29,3.01,1.66,1.35,194.81,2.84
2023,5,24,27.93,25.22,26.57,28.65,2.45,29.36,26.9,20.02,85.25,2.99,100.66,2.61,3.4,1.71,1.69,188.31,3.2
2023,5,25,27.94,24.72,26.33,28.37,2.06,29.23,27.16,19.41,82.62,2.73,100.71,2.9,3.75,2.38,1.38,189.06,3.59
2023,5,26,28.19,24.65,26.41,28.8,3.53,29.99,26.46,19.35,81.06,1.27,100.7,3.26,4.3,2.42,1.88,218.25,4
2023,5,27,27.6,25.02,26.31,28.19,2.01,28.78,26.77,19.78,85.81,4.01,100.77,3.86,4.91,2.55,2.36,229.25,4.8
2023,5,28,27.71,25.09,26.4,28.35,2.65,29.04,26.4,19.9,85.69,4.55,100.77,3.09,4.04,2.02,2.02,216.5,3.82
2023,5,29,27.73,24.76,26.24,28.12,1.82,28.62,26.8,19.47,83.88,7.83,100.83,3.13,4.47,1.28,3.2,165.62,3.79
2023,5,30,28.11,24.56,26.33,28.45,2.17,29.44,27.26,19.17,80.94,1.92,100.9,2.26,3.48,0.8,2.69,156.69,2.72
2023,5,31,28.05,25.42,26.73,28.49,2.03,29.18,27.15,20.26,85.62,4.76,100.84,3.16,3.73,2.53,1.2,204.94,3.95
2023,6,1,27.9,25.51,26.71,28.33,1.51,28.79,27.28,20.39,86.81,8.43,100.81,3.55,4.81,2.58,2.23,216.06,4.43
2023,6,2,26.87,25.23,26.05,27.81,1.2,27.43,26.23,20.08,90.81,30.91,100.83,3.63,4.22,3.07,1.16,205.56,4.51
2023,6,3,26.53,24.04,25.28,27.9,2.16,27.65,25.49,18.62,86.19,9.13,100.94,3.04,4.11,1.98,2.13,216.62,3.79
2023,6,4,27.28,24.51,25.9,28.11,2.88,28.74,25.87,19.17,84.88,2.06,100.95,3.45,4.41,2.89,1.53,230.94,4.26
2023,6,5,27.53,24.84,26.19,28.06,2.38,28.86,26.48,19.53,85.31,3.37,100.91,4.31,4.77,3.66,1.12,226,5.4
2023,6,6,27.09,24.82,25.95,27.8,1.85,28.18,26.33,19.53,87.44,8.33,100.94,3.84,4.45,2.99,1.45,212.12,4.79
2023,6,7,26.3,24.42,25.36,27.48,1.27,27.07,25.8,19.04,89.5,23.79,101.02,3.91,4.79,2.95,1.84,206.94,4.87
2023,6,8,26.68,23.8,25.24,27.64,3.03,28.41,25.38,18.31,84.31,12.09,101.09,3.14,4.58,2.25,2.33,196.69,3.94
2023,6,9,26.83,24.63,25.73,27.51,2.36,28.05,25.69,19.29,87.75,11.01,100.96,3.34,4.69,2.22,2.47,222,4.21
2023,6,10,26.8,24.65,25.73,27.31,1.61,27.71,26.1,19.35,88,10.37,100.94,4.04,4.46,3.48,0.98,214.06,5.08
2023,6,11,26.58,23.76,25.18,27.07,1.77,27.63,25.86,18.31,84.5,2.74,101.02,4.62,5.73,3.24,2.49,207,5.78
2023,6,12,26.49,22.96,24.73,26.86,2.22,27.69,25.48,17.4,80.81,0.07,101.09,3.57,3.84,3.22,0.62,209,4.45
2023,6,13,26.15,22.81,24.48,26.65,2.87,27.69,24.82,17.21,81.81,0.07,101.04,3.42,4.3,3.04,1.27,220.12,4.24
